B20,83,-4.6,-1.2,83,4.8,195.3,14.3,-13.5,-4.8,0,,B125,82.4,-3.7,-1.7,82.4,4.1,205,14.5,-14,-3.9,0,,B6,82.4,-2.8,-2,82.4,3.4,216.1,0.1,0,-0.1,0
B21,83.2,-4.4,-3.4,83.2,5.6,218,14.2,-13.3,-4.6,-2,,B126,82.8,-4.1,-2.7,82.8,4.9,213.7,14.3,-13.7,-4.2,-0.9,,B7,82.7,-3.4,-2.2,82.7,4.1,213.7,0.7,0.2,-0.6,-0.2
B22,82.8,-4.4,-4.1,82.8,6.1,223.4,14.7,-13.7,-4.6,-3,,B127,82.2,-3.6,-3.6,82.2,5.1,224.7,14.7,-14.1,-3.8,-1.7,,B8,82.4,-3.2,-2.7,82.4,4.2,220.3,0.8,0,-0.5,-0.6
B23,82.5,-3.6,-5.3,82.5,6.4,235.4,14.9,-13.9,-3.9,-4,,B128,82.1,-3.4,-4.6,82.1,5.8,233.2,15,-14.2,-3.7,-2.6,,B9,82.3,-3.4,-3,82.3,4.5,221.6,1.1,0,-0.6,-0.9
B24,83,-2.4,-5,83,5.6,244,14.2,-13.5,-2.8,-3,,B129,82.7,-2.4,-4.4,82.7,5.1,241.5,14.2,-13.7,-2.7,-2.4,,B10,82.4,-2.4,-3.3,82.4,4.1,233.4,1.2,0,0.1,-1.2
B25,83.8,-1.4,-4.4,83.8,4.6,251.2,13.2,-12.7,-1.9,-3,,B130,83.1,-1.8,-3.8,83.1,4.2,244.6,13.7,-13.4,-2.2,-1.9,,B11,82.8,-2.2,-2.8,82.8,3.5,231.6,0.8,0.3,0.3,-0.7
B26,83.3,-1.3,-2.4,83.3,2.7,241.3,13.3,-13.2,-1.8,-1,,B131,82.6,-1.3,-2.2,82.6,2.6,238.8,13.9,-13.8,-1.8,-0.5,,B12,82.5,-2.1,-2.2,82.5,3.1,225.1,0.4,0.1,0.4,-0.1
B27,74.2,-4.5,-1.7,74.2,4.9,201.3,22,-21.4,-4.7,0,,B132,73.8,-4.3,-2.3,73.8,4.9,208.1,22.2,-21.7,-4.4,-0.5,,B13,74.3,-4.4,-2,74.3,4.8,205.3,7.4,-7.3,-1.5,0
B28,74.8,-2.6,-1,74.8,2.9,201.9,21.1,-20.9,-3,0,,B133,74.5,-3.6,-1.9,74.5,4,208.1,21.5,-21.1,-3.8,-0.1,,B14,74.5,-3.6,-1.9,74.5,4,208.1,7.1,-7.1,-0.8,0
B29,75.1,-3.8,1.5,75.1,4.1,157.9,21.2,-20.6,-4,3,,B134,74.7,-3.9,-0.4,74.7,3.9,185.9,21.3,-20.9,-4.1,1.1,,B15,74.8,-4.3,-0.5,74.8,4.3,186.8,7.1,-6.8,-1.4,1.3
B30,75,-4,3.2,75,5.1,141.1,21.5,-20.7,-4.2,4,,B135,75,-4.6,1.3,75,4.8,163.5,21.4,-20.6,-4.7,2.7,,B16,75,-4.5,0.3,75,4.5,175.3,7.1,-6.6,-1.7,2.1
B31,74.4,-6.1,2.5,74.4,6.6,157.6,22.4,-21.3,-6.1,3,,B136,74.7,-5.4,1.2,74.7,5.6,167.3,21.8,-20.9,-5.5,2.6,,B17,74.9,-5.1,0.2,74.9,5.1,177.4,7.3,-6.7,-2.2,2
B32,73.8,-8,1.1,73.8,8.1,171.7,23.3,-21.8,-7.8,2,,B137,73.9,-6.4,-0.8,73.9,6.5,187.6,22.6,-21.6,-6.4,0.7,,B18,74.4,-5.1,-0.6,74.4,5.2,187.1,7.6,-7.2,-2.2,1.2
B33,74.6,-7.7,-1.3,74.6,7.8,189.9,22.4,-21.1,-7.5,0,,B138,74.4,-6.3,-0.9,74.4,6.4,188.6,22.1,-21.2,-6.3,0.6,,B19,74.5,-5.5,-1.1,74.5,5.7,191.2,7.6,-7.1,-2.6,0.8
B34,75.4,-7.8,-3.8,75.4,8.6,206,21.9,-20.4,-7.6,-2,,B139,74.5,-6.3,-2.6,74.5,6.8,202.5,22,-21.1,-6.2,-0.8,,B20,74.8,-5.6,-2.1,74.8,6,201.1,7.3,-6.8,-2.7,-0.1
B35,74.9,-7.3,-5.5,74.9,9.2,216.7,22.4,-20.8,-7.2,-4,,B140,74.2,-5.6,-4,74.2,6.9,215.6,22.2,-21.4,-5.6,-2,,B21,74.2,-5.7,-3.4,74.2,6.6,210.6,8,-7.3,-2.7,-1.2
B36,74.1,-7.2,-7.2,74.1,10.2,225.1,23.3,-21.5,-7.1,-5,,B141,74.4,-5.6,-4.7,74.4,7.3,219.7,22.1,-21.2,-5.6,-2.6,,B22,74,-5.5,-4.2,74,6.9,217.8,8.2,-7.5,-2.5,-2
